,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,1
48,0
49,1
50,0
51,1
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,2
87,1
88,2
89,1
90,2
91,1
92,2
93,1
94,2
95,1
96,2
97,1
98,2
99,1
100,2
101,1
102,2
103,1
104,2
105,1
106,2
107,1
108,3
109,1
110,3
111,1
112,3
113,1
114,3
115,1
116,3
117,1
118,3
119,1
120,3
121,1
122,3
123,1
124,3
125,1
126,3
127,1
128,3
129,1
130,3
131,1
132,3
133,1
134,3
135,2
136,3
137,2
138,3
139,2
140,3
141,2
142,3
143,2
144,3
145,2
146,3
147,2
148,3
149,2
150,3
151,2
152,3
153,2
154,3
155,2
156,3
157,2
158,3
159,2
160,3
161,2
162,3
163,2
164,3
165,2
166,3
167,2
168,3
169,2
170,3
171,2
172,3
173,2
174,3
175,2
176,3
177,2
178,3
179,2
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,4
190,3
191,4
192,3
193,4
194,3
195,4
196,3
197,4
198,3
199,4
200,3
201,4
202,3
203,4
204,3
205,4
206,3
207,4
208,3
209,4
210,3
211,4
212,3
213,4
214,3
215,4
216,3
217,4
218,3
219,4
220,3
221,4
222,3
223,4
224,3
225,4
226,3
227,4
228,3
229,4
230,3
231,4
232,3
233,4
234,4
235,4
236,4
237,4
238,4
239,4
240,4
241,4
242,4
243,4
244,4
245,4
246,4
247,4
248,4
249,4
250,4
251,4
252,4
253,4
254,4
255,4
256,4
257,4
258,4
259,4
260,4
261,4
262,5
263,4
264,5
265,4
266,5
267,4
268,5
269,4
270,5
271,4
272,5
273,4
274,5
275,4
276,5
277,4
278,5
279,4
280,5
281,4
282,5
283,4
284,5
285,4
286,5
287,4
288,5
289,4
290,5
291,4
292,5
293,4
294,6
295,4
296,6
297,4
298,6
299,4
300,6
301,4
302,6
303,4
304,6
305,4
306,6
307,4
308,6
309,4
310,6
311,4
312,6
313,4
314,6
315,4
316,6
317,4
318,6
319,4
320,6
321,4
322,6
323,4
324,6
325,4
326,6
327,4
328,6
329,4
330,6
331,4
332,6
333,5
334,6
335,5
336,6
337,5
338,6
339,5
340,6
341,5
342,6
343,5
344,6
345,5
346,6
347,5
348,6
349,5
350,6
351,5
352,6
353,5
354,6
355,6
356,6
357,6
358,6
359,6
360,6
361,6
362,6
363,6
364,6
365,6
366,6
367,6
368,6
369,6
370,7
371,6
372,7
373,6
374,7
375,6
376,7
377,6
378,7
379,6
380,7
381,6
382,7
383,6
384,7
385,6
386,7
387,6
388,7
389,6
390,7
391,6
392,7
393,6
394,7
395,6
396,8
397,6
398,8
399,6
400,8
401,6
402,8
403,6
404,8
405,7
406,8
407,7
408,8
409,7
410,8
411,7
412,8
413,7
414,8
415,7
416,8
417,7
418,8
419,7
420,8
421,7
422,8
423,7
424,8
425,7
426,8
427,7
428,8
429,7
430,8
431,7
432,8
433,7
434,8
435,7
436,8
437,7
438,8
439,7
440,8
441,7
442,8
443,7
444,8
445,7
446,8
447,7
448,8
449,7
450,8
451,7
452,8
453,8
454,8
455,8
456,8
457,8
458,8
459,9
460,8
461,9
462,8
463,9
464,8
465,9
466,8
467,9
468,8
469,9
470,8
471,9
472,8
473,9
474,8
475,9
476,8
477,9
478,8
479,9
480,8
481,9
482,8
483,9
484,8
485,9
486,8
487,9
488,8
489,9
490,8
491,9
492,8
493,9
494,8
495,9
496,8
497,9
498,8
499,9
500,8
501,10
502,8
503,10
504,8
505,10
506,8
507,10
508,8
509,10
510,8
511,10
512,8
513,11
514,8
515,11
516,8
517,11
518,8
519,11
520,8
521,11
522,8
523,11
524,8
525,11
526,8
527,11
528,8
529,11
530,8
531,11
532,8
