,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,1
48,0
49,1
50,0
51,1
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,2
87,1
88,2
89,1
90,2
91,1
92,2
93,1
94,2
95,1
96,2
97,1
98,2
99,1
100,2
101,1
102,2
103,1
104,2
105,1
106,2
107,1
108,3
109,1
110,3
111,1
112,3
113,1
114,3
115,1
116,3
117,1
118,3
119,1
120,3
121,1
122,3
123,1
124,3
125,1
126,3
127,1
128,3
129,1
130,3
131,1
132,3
133,1
134,3
135,2
136,3
137,2
138,3
139,2
140,3
141,2
142,3
143,2
144,3
145,2
146,3
147,2
148,3
149,2
150,3
151,2
152,3
153,2
154,3
155,2
156,3
157,2
158,3
159,2
160,3
161,2
162,3
163,2
164,3
165,2
166,3
167,2
168,3
169,2
170,3
171,2
172,3
173,2
174,3
175,2
176,3
177,2
178,3
179,2
180,3
181,2
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,4
190,3
191,4
192,3
193,4
194,3
195,4
196,3
197,4
198,3
199,4
200,3
201,4
202,3
203,4
204,3
205,4
206,3
207,4
208,3
209,4
210,3
211,4
212,3
213,4
214,3
215,4
216,3
217,4
218,3
219,4
220,3
221,4
222,3
223,4
224,3
225,4
226,3
227,4
228,3
229,4
230,3
231,4
232,3
233,4
234,3
235,4
236,3
237,4
238,4
239,4
240,4
241,4
242,4
243,4
244,4
245,4
246,4
247,4
248,4
249,4
250,4
251,4
252,4
253,4
254,4
255,5
256,4
257,5
258,4
259,5
260,4
261,5
262,4
263,5
264,4
265,5
266,4
267,5
268,4
269,5
270,5
271,5
272,5
273,5
274,5
275,5
276,5
277,5
278,5
279,5
280,5
281,5
282,5
283,5
284,5
285,5
286,5
287,5
288,5
289,5
290,5
291,5
292,5
293,5
294,5
295,5
296,5
297,6
298,5
299,6
300,5
301,6
302,5
303,6
304,5
305,6
306,5
307,6
308,5
309,6
310,5
311,6
312,5
313,6
314,5
315,6
316,5
317,6
318,5
319,6
320,5
321,6
322,5
323,6
324,5
325,6
326,5
327,6
328,5
329,6
330,5
331,7
332,5
333,7
334,5
335,7
336,5
337,7
338,5
339,7
340,5
341,7
342,5
343,7
344,5
345,7
346,5
347,7
348,5
349,7
350,5
351,7
352,5
353,7
354,5
355,7
356,5
357,7
358,5
359,7
360,5
361,7
362,5
363,7
364,5
365,7
366,5
367,7
368,5
369,7
370,5
371,7
372,5
373,7
374,5
375,7
376,5
377,7
378,5
379,8
380,5
381,8
382,5
383,8
384,5
385,8
386,5
387,8
388,5
389,8
390,5
391,8
392,5
393,8
394,5
395,8
396,5
397,8
398,5
399,8
400,5
401,8
402,5
403,8
404,5
405,8
406,5
407,8
408,6
409,8
410,6
411,8
412,6
413,8
414,6
415,8
416,6
417,8
418,6
419,8
420,6
421,8
422,7
423,8
424,7
425,8
426,7
427,8
428,7
429,8
430,7
431,8
432,8
433,8
434,8
435,8
436,8
437,8
438,8
439,8
440,8
441,8
442,8
443,8
444,8
445,8
446,8
447,8
448,8
449,8
450,8
451,8
452,8
453,8
454,8
455,8
456,8
457,8
458,8
459,8
460,8
461,8
462,8
463,8
464,8
465,8
466,8
467,8
468,8
469,8
470,8
471,8
472,8
473,8
474,8
475,8
476,8
477,8
478,8
479,8
480,8
481,8
482,8
483,8
484,8
485,8
486,8
487,8
488,8
489,8
490,8
491,8
492,8
493,8
494,8
495,8
496,8
497,8
498,8
499,8
500,8
501,8
502,8
503,8
504,8
505,9
506,8
507,9
508,8
509,9
510,9
511,9
512,9
513,9
514,10
515,9
516,10
517,9
518,10
519,9
520,10
521,9
522,10
523,9
524,10
525,9
526,10
527,9
528,10
529,9
530,10
531,9
532,10
