,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,1
48,0
49,1
50,0
51,1
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,2
87,1
88,2
89,1
90,2
91,1
92,2
93,1
94,2
95,1
96,2
97,1
98,2
99,1
100,2
101,1
102,2
103,1
104,2
105,1
106,2
107,1
108,3
109,1
110,3
111,1
112,3
113,1
114,3
115,1
116,3
117,1
118,3
119,1
120,3
121,1
122,3
123,1
124,3
125,1
126,3
127,1
128,3
129,1
130,3
131,1
132,3
133,1
134,3
135,2
136,3
137,2
138,3
139,2
140,3
141,2
142,3
143,2
144,3
145,2
146,3
147,2
148,3
149,2
150,3
151,2
152,3
153,2
154,3
155,2
156,3
157,2
158,3
159,2
160,3
161,2
162,3
163,2
164,3
165,2
166,3
167,2
168,3
169,2
170,3
171,2
172,3
173,2
174,3
175,2
176,4
177,2
178,4
179,2
180,4
181,2
182,4
183,2
184,4
185,2
186,4
187,2
188,4
189,3
190,4
191,3
192,4
193,3
194,4
195,3
196,4
197,3
198,4
199,3
200,4
201,3
202,4
203,3
204,4
205,3
206,4
207,3
208,4
209,3
210,4
211,3
212,4
213,3
214,4
215,3
216,4
217,3
218,4
219,3
220,4
221,3
222,4
223,3
224,4
225,3
226,4
227,3
228,4
229,3
230,4
231,3
232,4
233,4
234,4
235,4
236,4
237,4
238,4
239,4
240,4
241,4
242,4
243,4
244,4
245,4
246,4
247,4
248,4
249,4
250,4
251,5
252,4
253,5
254,4
255,5
256,4
257,5
258,4
259,5
260,4
261,5
262,4
263,5
264,4
265,5
266,4
267,5
268,4
269,5
270,5
271,5
272,5
273,5
274,5
275,5
276,5
277,5
278,5
279,5
280,5
281,5
282,5
283,5
284,5
285,5
286,5
287,5
288,5
289,5
290,5
291,5
292,5
293,5
294,5
295,5
296,5
297,6
298,5
299,6
300,5
301,6
302,5
303,6
304,5
305,6
306,5
307,6
308,5
309,6
310,5
311,6
312,5
313,6
314,5
315,6
316,5
317,6
318,5
319,6
320,5
321,6
322,5
323,6
324,5
325,6
326,5
327,6
328,5
329,6
330,5
331,6
332,6
333,6
334,6
335,6
336,6
337,6
338,6
339,6
340,6
341,6
342,6
343,6
344,6
345,6
346,6
347,6
348,6
349,6
350,6
351,6
352,6
353,6
354,6
355,6
356,6
357,6
358,6
359,6
360,6
361,6
362,6
363,6
364,6
365,6
366,6
367,7
368,6
369,7
370,6
371,7
372,6
373,7
374,6
375,7
376,6
377,7
378,6
379,7
380,6
381,7
382,7
383,7
384,7
385,7
386,7
387,7
388,7
389,7
390,7
391,7
392,7
393,7
394,7
395,7
396,7
397,7
398,7
399,7
400,7
401,7
402,7
403,7
404,7
405,7
406,7
407,7
408,7
409,7
410,7
411,7
412,7
413,7
414,7
415,7
416,7
417,7
418,7
419,7
420,7
421,8
422,7
423,8
424,7
425,8
426,7
427,8
428,7
429,8
430,7
431,8
432,7
433,9
434,7
435,9
436,7
437,9
438,7
439,9
440,7
441,9
442,7
443,9
444,7
445,9
446,7
447,9
448,7
449,9
450,7
451,9
452,7
453,9
454,7
455,9
456,7
457,9
458,7
459,9
460,7
461,9
462,7
463,9
464,7
465,9
466,7
467,9
468,7
469,9
470,7
471,9
472,7
473,9
474,7
475,9
476,7
477,9
478,7
479,9
480,7
481,9
482,7
483,9
484,7
485,9
486,7
487,9
488,7
489,9
490,7
491,9
492,7
493,9
494,7
495,9
496,7
497,9
498,7
499,9
500,7
501,9
502,7
503,9
504,7
505,9
506,7
507,9
508,7
509,10
510,8
511,10
512,8
513,10
514,8
515,10
516,8
517,10
518,8
519,10
520,9
521,10
522,9
523,10
524,9
525,10
526,9
527,10
528,9
529,10
530,9
531,10
532,9
