,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,1
48,0
49,1
50,0
51,1
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,2
88,1
89,2
90,1
91,2
92,1
93,2
94,1
95,2
96,1
97,2
98,1
99,2
100,1
101,2
102,1
103,2
104,1
105,2
106,1
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,3
136,2
137,3
138,2
139,3
140,2
141,3
142,2
143,3
144,2
145,3
146,2
147,3
148,2
149,3
150,2
151,3
152,2
153,3
154,2
155,3
156,2
157,3
158,2
159,3
160,2
161,3
162,2
163,3
164,2
165,3
166,2
167,3
168,2
169,3
170,2
171,3
172,2
173,3
174,2
175,3
176,2
177,3
178,2
179,4
180,2
181,4
182,2
183,4
184,2
185,4
186,2
187,4
188,2
189,4
190,2
191,4
192,2
193,4
194,2
195,4
196,2
197,4
198,2
199,4
200,2
201,4
202,2
203,4
204,3
205,4
206,3
207,4
208,3
209,4
210,3
211,4
212,3
213,4
214,3
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,4
223,4
224,4
225,4
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,4
234,4
235,4
236,4
237,4
238,4
239,4
240,4
241,4
242,4
243,5
244,4
245,5
246,4
247,5
248,4
249,5
250,4
251,5
252,4
253,5
254,4
255,5
256,4
257,5
258,4
259,5
260,4
261,5
262,4
263,5
264,4
265,5
266,4
267,5
268,4
269,5
270,4
271,5
272,4
273,5
274,4
275,6
276,4
277,6
278,4
279,6
280,4
281,6
282,4
283,6
284,4
285,6
286,4
287,6
288,4
289,6
290,4
291,6
292,4
293,6
294,4
295,6
296,4
297,6
298,4
299,6
300,4
301,6
302,4
303,6
304,4
305,6
306,4
307,6
308,4
309,6
310,4
311,6
312,4
313,6
314,4
315,6
316,4
317,6
318,4
319,6
320,4
321,6
322,4
323,6
324,4
325,6
326,4
327,6
328,4
329,6
330,5
331,6
332,5
333,6
334,5
335,6
336,5
337,6
338,5
339,6
340,5
341,7
342,5
343,7
344,5
345,7
346,5
347,7
348,5
349,7
350,5
351,7
352,5
353,7
354,5
355,7
356,5
357,7
358,5
359,7
360,5
361,7
362,5
363,7
364,5
365,7
366,5
367,7
368,5
369,7
370,5
371,7
372,5
373,7
374,5
375,7
376,5
377,7
378,5
379,7
380,5
381,7
382,5
383,7
384,5
385,7
386,5
387,7
388,5
389,7
390,5
391,7
392,5
393,7
394,5
395,7
396,5
397,7
398,5
399,7
400,6
401,7
402,6
403,7
404,6
405,7
406,6
407,7
408,6
409,7
410,6
411,7
412,6
413,7
414,6
415,7
416,6
417,7
418,6
419,7
420,6
421,7
422,6
423,7
424,6
425,7
426,6
427,7
428,6
429,7
430,6
431,7
432,6
433,7
434,6
435,7
436,6
437,7
438,6
439,7
440,6
441,7
442,6
443,7
444,7
445,7
446,7
447,7
448,7
449,7
450,7
451,7
452,7
453,7
454,7
455,7
456,7
457,7
458,7
459,7
460,7
461,7
462,7
463,7
464,7
465,7
466,7
467,7
468,7
469,7
470,7
471,7
472,7
473,7
474,7
475,8
476,7
477,8
478,7
479,9
480,7
481,9
482,7
483,9
484,7
485,9
486,7
487,9
488,7
489,9
490,7
491,9
492,7
493,9
494,7
495,10
496,7
497,10
498,7
499,10
500,7
501,11
502,7
503,11
504,7
505,11
506,7
507,11
508,7
509,11
510,7
511,11
512,7
513,11
514,7
515,11
516,7
517,11
518,8
519,11
520,8
521,11
522,8
523,11
524,8
525,11
526,8
527,11
528,8
529,11
530,8
531,11
532,8
