,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,1
48,0
49,1
50,0
51,1
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,2
86,1
87,2
88,1
89,2
90,1
91,2
92,1
93,2
94,1
95,2
96,1
97,2
98,1
99,2
100,1
101,2
102,1
103,2
104,1
105,2
106,1
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,3
136,2
137,3
138,2
139,3
140,2
141,3
142,2
143,3
144,2
145,3
146,2
147,3
148,2
149,3
150,2
151,3
152,2
153,3
154,2
155,3
156,2
157,3
158,2
159,3
160,2
161,3
162,2
163,3
164,2
165,3
166,2
167,3
168,2
169,3
170,2
171,3
172,2
173,3
174,2
175,3
176,2
177,3
178,2
179,3
180,2
181,3
182,2
183,4
184,2
185,4
186,2
187,4
188,2
189,5
190,2
191,5
192,2
193,5
194,2
195,5
196,2
197,5
198,2
199,5
200,2
201,5
202,2
203,5
204,2
205,5
206,2
207,5
208,2
209,5
210,2
211,5
212,2
213,5
214,2
215,5
216,2
217,5
218,2
219,5
220,2
221,5
222,2
223,5
224,2
225,5
226,2
227,5
228,2
229,5
230,2
231,5
232,2
233,5
234,2
235,5
236,2
237,5
238,2
239,5
240,2
241,5
242,2
243,5
244,2
245,5
246,2
247,5
248,2
249,5
250,2
251,6
252,3
253,6
254,3
255,6
256,3
257,6
258,3
259,6
260,3
261,6
262,3
263,6
264,3
265,6
266,3
267,6
268,3
269,6
270,4
271,6
272,4
273,6
274,4
275,6
276,4
277,6
278,4
279,6
280,4
281,6
282,4
283,6
284,4
285,6
286,4
287,6
288,4
289,6
290,4
291,6
292,4
293,6
294,4
295,6
296,4
297,7
298,4
299,7
300,4
301,7
302,4
303,7
304,4
305,7
306,4
307,7
308,4
309,7
310,4
311,7
312,4
313,7
314,4
315,7
316,4
317,7
318,4
319,7
320,4
321,7
322,4
323,7
324,4
325,7
326,4
327,7
328,4
329,7
330,4
331,8
332,4
333,8
334,4
335,8
336,4
337,8
338,4
339,8
340,4
341,8
342,4
343,8
344,4
345,8
346,4
347,8
348,4
349,8
350,4
351,8
352,4
353,8
354,4
355,8
356,4
357,8
358,4
359,8
360,4
361,8
362,4
363,8
364,4
365,8
366,4
367,8
368,4
369,8
370,4
371,8
372,4
373,8
374,4
375,8
376,5
377,8
378,5
379,8
380,5
381,8
382,5
383,8
384,5
385,8
386,5
387,8
388,5
389,8
390,5
391,8
392,5
393,8
394,5
395,8
396,5
397,8
398,5
399,8
400,5
401,8
402,5
403,8
404,5
405,8
406,5
407,8
408,5
409,8
410,5
411,8
412,5
413,9
414,5
415,9
416,5
417,9
418,5
419,9
420,5
421,9
422,5
423,9
424,5
425,9
426,5
427,9
428,5
429,10
430,5
431,10
432,5
433,10
434,5
435,11
436,5
437,11
438,5
439,11
440,5
441,11
442,5
443,11
444,5
445,11
446,5
447,11
448,5
449,11
450,5
451,11
452,5
453,11
454,5
455,11
456,5
457,11
458,5
459,11
460,5
461,11
462,5
463,11
464,5
465,11
466,5
467,11
468,5
469,11
470,5
471,11
472,5
473,11
474,5
475,11
476,5
477,11
478,5
479,11
480,5
481,11
482,5
483,11
484,6
485,11
486,6
487,11
488,6
489,11
490,6
491,11
492,6
493,11
494,6
495,11
496,6
497,11
498,6
499,11
500,6
501,11
502,6
503,11
504,6
505,12
506,6
507,12
508,6
509,12
510,6
511,12
512,6
513,13
514,6
515,13
516,6
517,13
518,6
519,13
520,6
521,13
522,6
523,13
524,6
525,13
526,6
527,13
528,6
529,13
530,6
531,13
532,6
