,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,1
48,0
49,1
50,0
51,1
52,0
53,1
54,0
55,1
56,0
57,1
58,0
59,2
60,0
61,2
62,0
63,2
64,0
65,2
66,0
67,2
68,0
69,2
70,0
71,2
72,0
73,2
74,0
75,2
76,0
77,2
78,0
79,2
80,0
81,2
82,0
83,2
84,0
85,2
86,0
87,3
88,0
89,3
90,0
91,3
92,0
93,3
94,0
95,3
96,0
97,3
98,0
99,3
100,0
101,3
102,0
103,3
104,0
105,3
106,0
107,3
108,1
109,3
110,1
111,3
112,1
113,3
114,1
115,3
116,1
117,3
118,1
119,3
120,1
121,3
122,1
123,3
124,1
125,3
126,1
127,3
128,1
129,3
130,1
131,3
132,1
133,3
134,1
135,4
136,1
137,4
138,1
139,4
140,1
141,4
142,1
143,4
144,1
145,4
146,1
147,4
148,1
149,4
150,1
151,4
152,1
153,4
154,1
155,4
156,1
157,4
158,1
159,4
160,1
161,4
162,1
163,4
164,1
165,4
166,1
167,4
168,1
169,4
170,1
171,4
172,1
173,4
174,1
175,4
176,1
177,4
178,1
179,4
180,1
181,4
182,2
183,4
184,2
185,4
186,2
187,4
188,2
189,5
190,2
191,5
192,2
193,5
194,2
195,5
196,2
197,5
198,2
199,5
200,2
201,5
202,2
203,5
204,2
205,5
206,2
207,5
208,2
209,5
210,2
211,5
212,2
213,5
214,2
215,5
216,2
217,5
218,2
219,5
220,2
221,5
222,2
223,5
224,2
225,5
226,2
227,5
228,2
229,5
230,2
231,5
232,2
233,5
234,2
235,5
236,2
237,5
238,2
239,6
240,2
241,6
242,2
243,6
244,2
245,6
246,2
247,6
248,2
249,6
250,2
251,7
252,2
253,7
254,2
255,7
256,2
257,7
258,2
259,7
260,2
261,7
262,2
263,7
264,2
265,7
266,2
267,7
268,2
269,7
270,3
271,7
272,3
273,7
274,3
275,7
276,3
277,7
278,3
279,7
280,3
281,7
282,3
283,7
284,3
285,7
286,3
287,7
288,3
289,7
290,3
291,7
292,3
293,7
294,3
295,7
296,3
297,8
298,3
299,8
300,3
301,8
302,3
303,8
304,3
305,8
306,3
307,8
308,3
309,8
310,3
311,8
312,3
313,8
314,3
315,8
316,3
317,8
318,3
319,8
320,3
321,8
322,3
323,8
324,3
325,8
326,3
327,8
328,3
329,8
330,4
331,8
332,4
333,8
334,4
335,8
336,4
337,8
338,4
339,8
340,4
341,8
342,4
343,8
344,4
345,8
346,4
347,8
348,4
349,8
350,4
351,9
352,4
353,9
354,4
355,9
356,4
357,9
358,4
359,9
360,4
361,9
362,4
363,9
364,4
365,9
366,4
367,9
368,4
369,9
370,4
371,9
372,4
373,9
374,4
375,9
376,4
377,9
378,4
379,9
380,4
381,9
382,4
383,9
384,4
385,9
386,4
387,10
388,4
389,10
390,4
391,10
392,4
393,10
394,4
395,10
396,4
397,10
398,4
399,10
400,4
401,10
402,4
403,10
404,4
405,10
406,4
407,10
408,4
409,10
410,4
411,10
412,4
413,10
414,4
415,10
416,4
417,10
418,4
419,10
420,4
421,10
422,4
423,10
424,4
425,10
426,4
427,10
428,4
429,11
430,4
431,11
432,5
433,11
434,5
435,11
436,5
437,11
438,5
439,11
440,5
441,11
442,5
443,11
444,5
445,11
446,5
447,11
448,5
449,11
450,5
451,11
452,5
453,11
454,5
455,11
456,5
457,11
458,5
459,11
460,5
461,11
462,5
463,11
464,5
465,11
466,5
467,11
468,5
469,11
470,5
471,11
472,5
473,11
474,5
475,11
476,5
477,11
478,5
479,11
480,5
481,11
482,5
483,11
484,5
485,11
486,5
487,11
488,5
489,11
490,5
491,11
492,5
493,11
494,5
495,11
496,5
497,11
498,5
499,11
500,5
501,11
502,6
503,11
504,6
505,11
506,6
507,11
508,7
509,11
510,7
511,11
512,7
513,11
514,7
515,11
516,7
517,11
518,7
519,11
520,8
521,11
522,8
523,11
524,8
525,11
526,8
527,11
528,8
529,11
530,8
531,11
532,8
