,start,finish,duration
0,0.0,40.0,40.0
1,93.0,137.0,44.0
2,140.0,185.0,45.0
3,175.0,219.0,44.0
4,267.0,307.0,40.0
5,351.0,400.0,49.0
6,366.0,418.0,52.0
7,431.0,481.0,50.0
8,444.0,508.0,64.0
9,473.0,536.0,63.0
10,510.0,566.0,56.0
11,512.0,584.0,72.0
12,518.0,596.0,78.0
13,550.0,627.0,77.0
14,593.0,647.0,54.0
15,694.0,744.0,50.0
16,708.0,752.0,44.0
17,796.0,841.0,45.0
18,806.0,858.0,52.0
19,950.0,1002.0,52.0
20,973.0,1023.0,50.0
21,1016.0,1063.0,47.0
22,1166.0,1213.0,47.0
23,1222.0,1266.0,44.0
24,1248.0,1307.0,59.0
25,1279.0,1327.0,48.0
26,1343.0,1387.0,44.0
27,1390.0,1443.0,53.0
28,1415.0,1467.0,52.0
29,1433.0,1484.0,51.0
30,1558.0,1613.0,55.0
31,1570.0,1628.0,58.0
32,1589.0,1647.0,58.0
33,1594.0,1667.0,73.0
34,1646.0,1695.0,49.0
35,1666.0,1714.0,48.0
36,1731.0,1776.0,45.0
37,1750.0,1800.0,50.0
38,1772.0,1823.0,51.0
39,1777.0,1839.0,62.0
40,1840.0,1891.0,51.0
41,1864.0,1914.0,50.0
42,2009.0,2052.0,43.0
43,2146.0,2199.0,53.0
44,2167.0,2227.0,60.0
45,2185.0,2252.0,67.0
46,2209.0,2286.0,77.0
47,2232.0,2298.0,66.0
48,2234.0,2302.0,68.0
49,2256.0,2322.0,66.0
50,2281.0,2340.0,59.0
51,2438.0,2497.0,59.0
52,2446.0,2509.0,63.0
53,2451.0,2525.0,74.0
54,2474.0,2543.0,69.0
55,2498.0,2560.0,62.0
56,2597.0,2644.0,47.0
57,2602.0,2667.0,65.0
58,2650.0,2697.0,47.0
59,2710.0,2753.0,43.0
60,2796.0,2842.0,46.0
61,2798.0,2862.0,64.0
62,2869.0,2919.0,50.0
63,2876.0,2937.0,61.0
64,2987.0,3027.0,40.0
65,3019.0,3066.0,47.0
66,3118.0,3161.0,43.0
67,3213.0,3267.0,54.0
68,3222.0,3297.0,75.0
69,3237.0,3301.0,64.0
70,3264.0,3328.0,64.0
71,3266.0,3335.0,69.0
72,3292.0,3356.0,64.0
73,3327.0,3388.0,61.0
74,3362.0,3408.0,46.0
75,3438.0,3488.0,50.0
76,3445.0,3500.0,55.0
77,3558.0,3601.0,43.0
78,3603.0,3656.0,53.0
79,3619.0,3682.0,63.0
80,3633.0,3689.0,56.0
81,3641.0,3703.0,62.0
82,3709.0,3753.0,44.0
83,3722.0,3774.0,52.0
84,3754.0,3800.0,46.0
85,3868.0,3916.0,48.0
86,3874.0,3930.0,56.0
87,3988.0,4035.0,47.0
88,4050.0,4099.0,49.0
89,4054.0,4124.0,70.0
90,4067.0,4135.0,68.0
91,4072.0,4150.0,78.0
92,4118.0,4171.0,53.0
93,4241.0,4291.0,50.0
94,4248.0,4315.0,67.0
95,4265.0,4335.0,70.0
96,4294.0,4355.0,61.0
97,4392.0,4437.0,45.0
98,4397.0,4470.0,73.0
99,4402.0,4479.0,77.0
100,4459.0,4505.0,46.0
101,4518.0,4565.0,47.0
102,4546.0,4589.0,43.0
103,4595.0,4642.0,47.0
104,4683.0,4733.0,50.0
105,4768.0,4811.0,43.0
106,4827.0,4874.0,47.0
