,start,finish,duration
0,0.0,43.0,43.0
1,93.0,136.0,43.0
2,140.0,185.0,45.0
3,175.0,215.0,40.0
4,267.0,310.0,43.0
5,351.0,399.0,48.0
6,366.0,409.0,43.0
7,431.0,479.0,48.0
8,444.0,494.0,50.0
9,473.0,514.0,41.0
10,569.0,612.0,43.0
11,632.0,677.0,45.0
12,659.0,713.0,54.0
13,681.0,736.0,55.0
14,692.0,747.0,55.0
15,712.0,763.0,51.0
16,768.0,822.0,54.0
17,770.0,825.0,55.0
18,774.0,828.0,54.0
19,821.0,874.0,53.0
20,832.0,876.0,44.0
21,1001.0,1061.0,60.0
22,1017.0,1075.0,58.0
23,1024.0,1080.0,56.0
24,1041.0,1088.0,47.0
25,1119.0,1169.0,50.0
26,1139.0,1195.0,56.0
27,1151.0,1196.0,45.0
28,1255.0,1308.0,53.0
29,1285.0,1330.0,45.0
30,1387.0,1455.0,68.0
31,1399.0,1457.0,58.0
32,1418.0,1475.0,57.0
33,1423.0,1476.0,53.0
34,1475.0,1528.0,53.0
35,1484.0,1530.0,46.0
36,1532.0,1579.0,47.0
37,1551.0,1617.0,66.0
38,1573.0,1624.0,51.0
39,1578.0,1632.0,54.0
40,1605.0,1648.0,43.0
41,1634.0,1681.0,47.0
42,1751.0,1794.0,43.0
43,1888.0,1945.0,57.0
44,1909.0,1991.0,82.0
45,1927.0,2003.0,76.0
46,1936.0,2009.0,73.0
47,1941.0,2014.0,73.0
48,1943.0,2014.0,71.0
49,1981.0,2025.0,44.0
50,2034.0,2077.0,43.0
51,2140.0,2190.0,50.0
52,2148.0,2195.0,47.0
53,2200.0,2279.0,79.0
54,2205.0,2272.0,67.0
55,2213.0,2278.0,65.0
56,2218.0,2282.0,64.0
57,2258.0,2318.0,60.0
58,2282.0,2335.0,53.0
59,2285.0,2336.0,51.0
60,2367.0,2417.0,50.0
61,2369.0,2418.0,49.0
62,2440.0,2493.0,53.0
63,2447.0,2494.0,47.0
64,2558.0,2611.0,53.0
65,2590.0,2636.0,46.0
66,2624.0,2678.0,54.0
