,start,finish,duration
0,0.0,47.0,47.0
1,93.0,140.0,47.0
2,140.0,188.0,48.0
3,175.0,224.0,49.0
4,267.0,314.0,47.0
5,351.0,407.0,56.0
6,366.0,453.0,87.0
7,431.0,482.0,51.0
8,483.0,530.0,47.0
9,533.0,582.0,49.0
10,569.0,631.0,62.0
11,589.0,644.0,55.0
12,608.0,709.0,101.0
13,611.0,760.0,149.0
14,614.0,792.0,178.0
15,647.0,814.0,167.0
16,666.0,795.0,129.0
17,680.0,820.0,140.0
18,772.0,859.0,87.0
19,848.0,910.0,62.0
20,854.0,968.0,114.0
21,859.0,1026.0,167.0
22,876.0,1028.0,152.0
23,878.0,1107.0,229.0
24,885.0,1130.0,245.0
25,914.0,1140.0,226.0
26,916.0,1169.0,253.0
27,974.0,1151.0,177.0
28,1000.0,1172.0,172.0
29,1002.0,1207.0,205.0
30,1066.0,1233.0,167.0
31,1081.0,1311.0,230.0
32,1111.0,1343.0,232.0
33,1138.0,1359.0,221.0
34,1205.0,1401.0,196.0
35,1219.0,1386.0,167.0
36,1284.0,1430.0,146.0
37,1329.0,1458.0,129.0
38,1346.0,1464.0,118.0
39,1414.0,1495.0,81.0
40,1436.0,1543.0,107.0
41,1566.0,1613.0,47.0
42,1621.0,1668.0,47.0
43,1758.0,1808.0,50.0
44,1779.0,1835.0,56.0
45,1781.0,1872.0,91.0
46,1803.0,1909.0,106.0
47,1837.0,1927.0,90.0
48,1850.0,1975.0,125.0
49,1874.0,1976.0,102.0
50,1877.0,2015.0,138.0
51,1905.0,2041.0,136.0
52,2007.0,2072.0,65.0
53,2012.0,2100.0,88.0
54,2097.0,2146.0,49.0
55,2196.0,2243.0,47.0
56,2263.0,2310.0,47.0
57,2268.0,2343.0,75.0
58,2316.0,2383.0,67.0
59,2388.0,2435.0,47.0
60,2474.0,2527.0,53.0
61,2476.0,2565.0,89.0
62,2547.0,2598.0,51.0
63,2575.0,2636.0,61.0
64,2851.0,2898.0,47.0
65,2883.0,2938.0,55.0
66,2917.0,2972.0,55.0
67,2942.0,3008.0,66.0
68,2948.0,3041.0,93.0
69,2952.0,3066.0,114.0
70,2954.0,3080.0,126.0
71,2968.0,3107.0,139.0
72,2982.0,3142.0,160.0
73,3143.0,3204.0,61.0
74,3157.0,3233.0,76.0
75,3391.0,3447.0,56.0
76,3398.0,3487.0,89.0
77,3511.0,3561.0,50.0
78,3556.0,3610.0,54.0
79,3572.0,3625.0,53.0
80,3605.0,3662.0,57.0
81,3607.0,3697.0,90.0
82,3626.0,3714.0,88.0
83,3679.0,3766.0,87.0
84,3685.0,3798.0,113.0
85,3689.0,3860.0,171.0
86,3754.0,3864.0,110.0
87,3896.0,3943.0,47.0
88,3958.0,4022.0,64.0
89,3962.0,4054.0,92.0
90,3975.0,4129.0,154.0
91,3980.0,4150.0,170.0
92,4060.0,4110.0,50.0
93,4093.0,4165.0,72.0
94,4137.0,4197.0,60.0
95,4240.0,4287.0,47.0
96,4390.0,4442.0,52.0
97,4395.0,4486.0,91.0
98,4400.0,4491.0,91.0
99,4437.0,4574.0,137.0
100,4451.0,4603.0,152.0
101,4627.0,4685.0,58.0
102,4655.0,4722.0,67.0
103,4675.0,4737.0,62.0
104,4692.0,4775.0,83.0
105,4744.0,4807.0,63.0
106,4746.0,4818.0,72.0
107,4858.0,4905.0,47.0
108,4914.0,4961.0,47.0
109,4983.0,5030.0,47.0
110,5007.0,5073.0,66.0
111,5034.0,5091.0,57.0
112,5067.0,5123.0,56.0
113,5307.0,5361.0,54.0
114,5334.0,5394.0,60.0
115,5415.0,5462.0,47.0
116,5465.0,5512.0,47.0
117,5518.0,5565.0,47.0
118,5535.0,5605.0,70.0
119,5637.0,5698.0,61.0
120,5640.0,5727.0,87.0
121,5751.0,5807.0,56.0
122,5758.0,5847.0,89.0
123,5868.0,5915.0,47.0
124,5946.0,5993.0,47.0
125,5997.0,6044.0,47.0
126,6101.0,6148.0,47.0
127,6187.0,6234.0,47.0
128,6229.0,6284.0,55.0
129,6257.0,6326.0,69.0
130,6280.0,6357.0,77.0
131,6300.0,6389.0,89.0
132,6324.0,6415.0,91.0
133,6353.0,6437.0,84.0
134,6355.0,6462.0,107.0
135,6436.0,6493.0,57.0
136,6444.0,6528.0,84.0
137,6481.0,6560.0,79.0
138,6503.0,6583.0,80.0
139,6556.0,6632.0,76.0
140,6603.0,6659.0,56.0
141,6670.0,6717.0,47.0
142,6694.0,6757.0,63.0
143,6749.0,6804.0,55.0
144,6780.0,6834.0,54.0
145,6791.0,6866.0,75.0
146,6820.0,6898.0,78.0
147,6836.0,6931.0,95.0
148,6873.0,6961.0,88.0
149,7068.0,7115.0,47.0
150,7155.0,7202.0,47.0
151,7222.0,7272.0,50.0
152,7262.0,7312.0,50.0
153,7448.0,7504.0,56.0
154,7476.0,7543.0,67.0
155,7504.0,7557.0,53.0
156,7518.0,7624.0,106.0
157,7546.0,7610.0,64.0
158,7661.0,7717.0,56.0
159,7663.0,7757.0,94.0
160,7717.0,7766.0,49.0
161,7763.0,7818.0,55.0
162,7765.0,7856.0,91.0
163,7789.0,7900.0,111.0
164,7838.0,7922.0,84.0
165,7845.0,7949.0,104.0
166,7866.0,7980.0,114.0
167,7967.0,8021.0,54.0
168,8020.0,8071.0,51.0
169,8023.0,8110.0,87.0
170,8042.0,8123.0,81.0
171,8105.0,8161.0,56.0
172,8134.0,8184.0,50.0
173,8329.0,8382.0,53.0
174,8333.0,8420.0,87.0
175,8377.0,8437.0,60.0
176,8548.0,8603.0,55.0
177,8570.0,8624.0,54.0
178,8632.0,8679.0,47.0
179,8693.0,8740.0,47.0
180,8713.0,8768.0,55.0
181,8726.0,8794.0,68.0
182,8740.0,8853.0,113.0
183,8762.0,8866.0,104.0
184,8773.0,8888.0,115.0
185,8807.0,8943.0,136.0
186,8828.0,8957.0,129.0
187,8830.0,8964.0,134.0
188,8979.0,9026.0,47.0
189,9169.0,9216.0,47.0
190,9247.0,9294.0,47.0
191,9335.0,9388.0,53.0
192,9343.0,9415.0,72.0
193,9391.0,9446.0,55.0
194,9412.0,9464.0,52.0
195,9436.0,9496.0,60.0
196,9498.0,9554.0,56.0
197,9532.0,9588.0,56.0
198,9543.0,9634.0,91.0
199,9545.0,9648.0,103.0
200,9563.0,9675.0,112.0
201,9565.0,9720.0,155.0
202,9573.0,9799.0,226.0
203,9658.0,9820.0,162.0
204,9712.0,9809.0,97.0
205,9826.0,9882.0,56.0
206,9840.0,9922.0,82.0
207,9967.0,10014.0,47.0
208,10053.0,10102.0,49.0
209,10071.0,10123.0,52.0
210,10075.0,10144.0,69.0
211,10261.0,10315.0,54.0
212,10291.0,10347.0,56.0
213,10433.0,10487.0,54.0
214,10463.0,10519.0,56.0
215,10521.0,10567.0,46.0
216,10538.0,10608.0,70.0
217,10573.0,10635.0,62.0
218,10600.0,10656.0,56.0
219,10764.0,10811.0,47.0
220,10769.0,10853.0,84.0
221,10861.0,10908.0,47.0
222,11002.0,11049.0,47.0
223,11094.0,11141.0,47.0
224,11157.0,11204.0,47.0
225,11198.0,11250.0,52.0
226,11215.0,11280.0,65.0
227,11299.0,11351.0,52.0
228,11333.0,11386.0,53.0
229,11342.0,11433.0,91.0
230,11367.0,11462.0,95.0
231,11370.0,11507.0,137.0
232,11438.0,11520.0,82.0
233,11445.0,11534.0,89.0
234,11535.0,11582.0,47.0
235,11574.0,11630.0,56.0
236,11613.0,11673.0,60.0
237,11625.0,11754.0,129.0
238,11627.0,11791.0,164.0
239,11669.0,11750.0,81.0
240,11710.0,11816.0,106.0
241,11795.0,11849.0,54.0
242,11811.0,11887.0,76.0
243,11829.0,11907.0,78.0
244,11855.0,11927.0,72.0
245,11964.0,12011.0,47.0
246,12011.0,12061.0,50.0
247,12051.0,12101.0,50.0
248,12229.0,12282.0,53.0
249,12243.0,12320.0,77.0
250,12347.0,12404.0,57.0
251,12376.0,12452.0,76.0
252,12393.0,12478.0,85.0
253,12399.0,12486.0,87.0
254,12621.0,12674.0,53.0
255,12651.0,12701.0,50.0
256,12653.0,12743.0,90.0
257,12658.0,12811.0,153.0
258,12744.0,12829.0,85.0
259,12869.0,12916.0,47.0
260,12910.0,12966.0,56.0
261,12929.0,13009.0,80.0
262,12982.0,13032.0,50.0
263,12986.0,13075.0,89.0
264,13036.0,13093.0,57.0
265,13053.0,13128.0,75.0
266,13129.0,13176.0,47.0
267,13264.0,13316.0,52.0
268,13277.0,13332.0,55.0
269,13343.0,13390.0,47.0
270,13415.0,13462.0,47.0
271,13494.0,13541.0,47.0
272,13561.0,13608.0,47.0
273,13655.0,13708.0,53.0
274,13668.0,13727.0,59.0
275,13679.0,13777.0,98.0
276,13693.0,13798.0,105.0
277,13698.0,13808.0,110.0
278,13701.0,13848.0,147.0
279,13714.0,13869.0,155.0
280,13859.0,13905.0,46.0
281,13915.0,13969.0,54.0
282,13918.0,14001.0,83.0
283,13927.0,14034.0,107.0
284,13960.0,14112.0,152.0
285,14073.0,14152.0,79.0
286,14081.0,14212.0,131.0
287,14100.0,14245.0,145.0
288,14108.0,14233.0,125.0
289,14115.0,14265.0,150.0
290,14166.0,14281.0,115.0
291,14263.0,14321.0,58.0
292,14330.0,14382.0,52.0
293,14338.0,14406.0,68.0
294,14371.0,14431.0,60.0
295,14472.0,14519.0,47.0
296,14559.0,14606.0,47.0
